"","gndr","eisced","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"1","Hombre","Primaria",77,60,60,1,1,0,0,8,4
"2","Mujer","Secundaria Inferior",15,15,300,5,0.25,5,10,8,4
"3",NA,"Secundaria SUperior",66,90,40,0.67,1.5,7,10,8,3
"4","Hombre","Máster/Doctorado",28,25,240,4,0.42,5,8,9,5
"5","Mujer","Máster/Doctorado",54,60,180,3,1,7,10,8,4
"6",NA,"Secundaria Inferior",81,120,NA,NA,2,1,8,8,5
"7","Hombre","Grado Universitario",57,120,180,3,2,4,8,8,4
"8","Hombre","Secundaria SUperior",73,180,360,6,3,5,10,10,5
"9",NA,NA,NA,10,NA,NA,0.17,4,2,6,3
"10","Mujer","Grado Universitario",41,10,180,3,0.17,3,9,5,3
"11","Mujer","Formación Profesional",55,1,180,3,0.02,5,6,6,4
"12","Hombre","Formación Profesional",35,150,270,4.5,2.5,2,1,8,5
"13","Mujer","Secundaria SUperior",NA,60,60,1,1,0,0,5,4
"14","Hombre","Secundaria SUperior",55,60,60,1,1,1,3,8,3
"15","Mujer","Secundaria Inferior",65,120,120,2,2,0,7,8,4
"16","Mujer","Secundaria SUperior",29,10,510,8.5,0.17,2,6,5,3
"17","Hombre","Bachiller",27,120,180,3,2,1,8,3,5
"18","Mujer","Grado Universitario",27,60,180,3,1,2,7,1,3
"19",NA,NA,NA,30,120,2,0.5,1,7,8,4
"20","Hombre","Secundaria SUperior",41,180,240,4,3,2,3,5,5
"21","Hombre","Secundaria SUperior",32,60,90,1.5,1,1,8,8,4
"22","Mujer","Máster/Doctorado",35,60,240,4,1,6,10,7,5
"23","Mujer","Bachiller",20,40,300,5,0.67,1,10,1,4
"24",NA,NA,NA,60,420,7,1,8,10,9,5
"25","Hombre","Secundaria SUperior",26,119,210,3.5,1.98,0,9,9,5
"26","Hombre","Secundaria SUperior",61,30,120,2,0.5,3,2,3,2
"27","Mujer","Formación Profesional",58,60,180,3,1,0,0,8,5
"28","Hombre","Máster/Doctorado",68,10,360,6,0.17,3,9,7,4
"29","Hombre","Formación Profesional",51,60,150,2.5,1,3,6,8,4
"30","Hombre","Primaria",16,60,360,6,1,3,9,9,5
"31","Hombre",NA,73,20,NA,NA,0.33,0,10,10,5
"32","Mujer","Bachiller",27,30,180,3,0.5,2,9,7,4
"33","Hombre","Secundaria SUperior",36,10,120,2,0.17,1,7,8,4
"34","Hombre","Secundaria SUperior",66,60,180,3,1,1,1,3,4
"35","Mujer","Bachiller",56,60,600,10,1,3,7,8,4
"36","Mujer","Formación Profesional",51,10,120,2,0.17,6,7,6,3
"37","Mujer","Secundaria Inferior",77,90,NA,NA,1.5,2,3,8,4
"38","Hombre","Secundaria Inferior",31,120,120,2,2,3,10,7,4
"39","Hombre","Secundaria SUperior",67,10,NA,NA,0.17,3,9,9,4
"40","Hombre",NA,48,90,480,8,1.5,5,7,5,5
"41","Mujer","Secundaria SUperior",68,60,NA,NA,1,NA,NA,7,4
"42","Mujer","Secundaria SUperior",39,30,30,0.5,0.5,0,5,10,5
"43","Hombre","Secundaria SUperior",39,10,20,0.33,0.17,1,2,6,4
"44","Hombre","Máster/Doctorado",54,30,60,1,0.5,5,8,8,4
"45","Mujer","Formación Profesional",18,10,420,7,0.17,6,7,8,4
"46","Mujer","Secundaria SUperior",43,30,30,0.5,0.5,1,5,9,4
"47","Mujer","Secundaria SUperior",55,30,60,1,0.5,0,0,5,3
"48","Hombre","Máster/Doctorado",37,10,120,2,0.17,2,10,8,5
"49","Hombre","Formación Profesional",59,5,60,1,0.08,1,1,7,4
"50","Hombre","Secundaria SUperior",70,60,NA,NA,1,2,8,8,4
"51","Mujer","Grado Universitario",26,20,600,10,0.33,2,8,7,4
"52","Hombre","Secundaria SUperior",52,120,60,1,2,9,6,9,4
"53","Hombre","Grado Universitario",67,60,60,1,1,7,8,7,4
"54","Mujer","Formación Profesional",47,15,300,5,0.25,0,8,7,5
"55","Mujer","Secundaria SUperior",60,90,90,1.5,1.5,4,6,8,4
"56","Mujer","Máster/Doctorado",48,15,600,10,0.25,5,7,7,4
"57","Mujer","Secundaria SUperior",45,60,480,8,1,2,3,9,4
"58","Hombre","Secundaria SUperior",81,90,NA,NA,1.5,5,5,3,3
"59","Mujer","Bachiller",51,45,270,4.5,0.75,4,8,9,4
"60","Mujer","Secundaria Inferior",15,30,300,5,0.5,7,9,10,5
"61","Hombre","Secundaria SUperior",27,30,180,3,0.5,0,9,8,5
"62","Mujer","Máster/Doctorado",41,15,120,2,0.25,4,8,10,5
"63","Mujer","Formación Profesional",49,20,NA,NA,0.33,7,7,5,3
"64","Hombre","Secundaria SUperior",64,60,150,2.5,1,1,7,7,3
"65","Mujer","Máster/Doctorado",32,30,480,8,0.5,5,7,9,5
"66","Hombre","Grado Universitario",62,120,600,10,2,2,5,7,5
"67","Hombre","Secundaria SUperior",29,10,NA,NA,0.17,3,7,6,5
"68","Hombre","Formación Profesional",NA,0,NA,NA,0,0,4,3,4
"69","Mujer","Secundaria SUperior",70,90,40,0.67,1.5,2,4,5,4
"70","Mujer",NA,16,90,765,12.75,1.5,5,10,5,4
"71","Hombre","Secundaria SUperior",53,45,30,0.5,0.75,0,7,8,4
"72","Mujer","Secundaria SUperior",28,20,360,6,0.33,0,4,4,4
"73","Mujer","Formación Profesional",58,10,47,0.78,0.17,1,2,5,4
"74","Hombre","Formación Profesional",51,45,360,6,0.75,1,8,5,3
"75","Hombre","Secundaria SUperior",NA,180,120,2,3,0,7,8,4
"76","Mujer","Grado Universitario",28,60,300,5,1,2,1,9,4
"77","Hombre","Máster/Doctorado",44,90,180,3,1.5,6,10,8,4
"78","Hombre","Secundaria Inferior",74,60,60,1,1,4,7,8,3
"79","Mujer","Secundaria SUperior",49,30,15,0.25,0.5,1,7,10,4
"80","Mujer","Bachiller",59,5,5,0.08,0.08,5,5,9,5
"81","Hombre","Bachiller",19,30,265,4.42,0.5,0,6,8,4
"82","Hombre","Secundaria SUperior",31,15,180,3,0.25,0,5,7,4
"83","Mujer","Formación Profesional",21,120,360,6,2,4,8,6,4
"84","Hombre","Bachiller",44,15,240,4,0.25,4,4,8,4
"85","Hombre","Máster/Doctorado",34,30,600,10,0.5,3,9,4,5
"86","Hombre",NA,57,110,480,8,1.83,2,8,3,3
"87","Hombre","Máster/Doctorado",30,60,720,12,1,2,9,7,3
"88","Hombre","Secundaria SUperior",80,120,60,1,2,0,3,5,3
"89","Mujer","Máster/Doctorado",60,60,120,2,1,3,7,9,4
"90","Mujer","Formación Profesional",47,30,60,1,0.5,5,7,7,4
"91","Mujer","Formación Profesional",22,30,630,10.5,0.5,6,7,8,4
"92","Mujer","Grado Universitario",29,60,360,6,1,1,7,9,4
"93","Hombre","Máster/Doctorado",35,45,480,8,0.75,5,9,6,4
"94","Hombre","Bachiller",NA,60,720,12,1,1,9,7,3
"95",NA,NA,NA,30,90,1.5,0.5,5,8,7,4
"96","Mujer","Formación Profesional",42,60,180,3,1,0,1,10,5
"97","Hombre","Secundaria SUperior",78,120,NA,NA,2,2,7,8,3
"98","Hombre","Formación Profesional",73,30,NA,NA,0.5,7,8,6,4
"99","Mujer","Máster/Doctorado",31,20,120,2,0.33,5,8,1,5
"100","Hombre","Secundaria SUperior",40,90,360,6,1.5,0,8,8,4
"101","Mujer","Secundaria SUperior",80,60,NA,NA,1,0,4,5,3
"102","Mujer","Formación Profesional",31,20,330,5.5,0.33,2,8,3,4
"103","Mujer","Formación Profesional",80,120,NA,NA,2,1,6,6,3
"104","Hombre","Máster/Doctorado",56,90,480,8,1.5,5,8,10,5
"105","Hombre","Formación Profesional",53,90,180,3,1.5,6,8,8,4
"106","Mujer","Secundaria SUperior",39,90,NA,NA,1.5,5,5,5,4
"107","Mujer","Formación Profesional",56,59,NA,NA,0.98,2,10,8,5
"108","Mujer","Secundaria SUperior",60,10,NA,NA,0.17,0,3,2,2
"109","Hombre","Secundaria SUperior",NA,60,NA,NA,1,3,7,8,4
"110","Mujer","Bachiller",29,15,180,3,0.25,1,2,8,5
"111","Mujer","Formación Profesional",59,90,240,4,1.5,2,2,10,5
"112","Mujer","Máster/Doctorado",51,60,540,9,1,7,9,1,4
"113","Mujer","Secundaria Inferior",74,180,NA,NA,3,2,10,7,4
"114","Mujer","Formación Profesional",61,120,NA,NA,2,0,0,4,1
"115","Hombre","Secundaria SUperior",54,30,480,8,0.5,3,6,7,3
"116","Hombre","Bachiller",18,100,330,5.5,1.67,4,7,8,5
"117","Hombre","Secundaria SUperior",65,30,600,10,0.5,1,3,10,5
"118","Mujer","Formación Profesional",52,30,480,8,0.5,3,9,8,3
"119","Hombre","Bachiller",36,120,240,4,2,2,7,7,4
"120","Hombre","Secundaria SUperior",53,15,90,1.5,0.25,3,5,8,5
"121","Mujer","Primaria",88,60,120,2,1,4,6,6,4
"122","Mujer","Grado Universitario",55,120,120,2,2,1,8,8,4
"123","Mujer","Grado Universitario",41,15,180,3,0.25,2,9,6,4
"124",NA,NA,NA,NA,NA,NA,NA,0,8,5,5
"125","Mujer","Secundaria SUperior",29,150,420,7,2.5,0,6,9,5
"126","Mujer","Secundaria SUperior",32,0,30,0.5,0,1,6,8,3
"127","Mujer","Formación Profesional",60,120,540,9,2,5,8,7,5
"128","Hombre","Máster/Doctorado",66,90,150,2.5,1.5,6,9,5,3
"129","Hombre","Máster/Doctorado",54,120,420,7,2,4,5,8,2
"130","Mujer","Formación Profesional",78,60,40,0.67,1,4,5,7,4
"131","Mujer","Primaria",66,60,NA,NA,1,10,10,0,2
"132","Mujer","Secundaria Inferior",79,150,NA,NA,2.5,7,9,9,4
"133","Hombre","Secundaria SUperior",71,60,NA,NA,1,2,5,8,3
"134","Mujer","Secundaria Inferior",56,30,40,0.67,0.5,5,5,8,4
"135","Hombre","Grado Universitario",32,120,720,12,2,4,9,8,5
"136","Mujer","Bachiller",18,120,270,4.5,2,2,10,3,4
"137","Hombre","Secundaria SUperior",54,20,NA,NA,0.33,3,8,3,4
"138","Mujer","Secundaria SUperior",64,20,10,0.17,0.33,3,9,8,2
"139","Mujer","Secundaria SUperior",41,30,30,0.5,0.5,0,2,9,5
"140","Mujer","Máster/Doctorado",36,7,120,2,0.12,3,5,8,5
"141","Mujer","Secundaria SUperior",43,90,180,3,1.5,0,10,10,5
"142","Mujer","Grado Universitario",58,60,120,2,1,1,6,8,4
"143","Hombre","Formación Profesional",63,60,120,2,1,2,5,2,4
"144","Hombre","Máster/Doctorado",38,15,180,3,0.25,3,9,7,5
"145","Hombre","Formación Profesional",48,30,180,3,0.5,5,7,8,4
"146","Hombre","Secundaria Inferior",57,150,NA,NA,2.5,7,8,5,2
"147","Mujer","Bachiller",40,90,180,3,1.5,8,8,4,4
"148","Mujer","Bachiller",66,80,30,0.5,1.33,7,10,8,4
"149","Hombre","Secundaria SUperior",46,90,240,4,1.5,0,4,8,5
"150","Hombre","Máster/Doctorado",75,60,60,1,1,2,8,8,5
"151","Hombre","Formación Profesional",21,60,360,6,1,0,10,10,5
"152","Hombre","Secundaria SUperior",66,120,30,0.5,2,0,5,5,3
"153","Hombre","Formación Profesional",NA,120,240,4,2,1,8,5,4
"154","Mujer","Secundaria Inferior",82,NA,NA,NA,NA,5,6,7,3
"155","Mujer","Secundaria Inferior",69,90,60,1,1.5,0,4,3,3
"156","Hombre","Máster/Doctorado",53,20,300,5,0.33,5,7,7,3
"157","Mujer","Bachiller",18,5,480,8,0.08,4,3,10,4
"158","Hombre","Formación Profesional",22,120,300,5,2,4,9,4,5
"159","Hombre","Máster/Doctorado",42,60,360,6,1,6,9,8,4
"160","Hombre","Primaria",89,60,NA,NA,1,0,6,6,3
"161","Mujer","Grado Universitario",25,90,420,7,1.5,1,8,2,4
"162",NA,"Secundaria Inferior",58,60,NA,NA,1,4,5,10,5
"163","Hombre","Secundaria SUperior",59,70,70,1.17,1.17,2,3,4,4
"164","Mujer","Secundaria SUperior",23,60,360,6,1,6,8,8,4
"165","Hombre","Formación Profesional",NA,30,90,1.5,0.5,4,8,8,5
"166",NA,NA,NA,60,180,3,1,2,0,10,4
"167","Hombre","Secundaria SUperior",49,150,210,3.5,2.5,2,1,10,5
"168","Hombre","Bachiller",NA,30,120,2,0.5,5,7,9,5
"169","Mujer","Secundaria SUperior",61,60,NA,NA,1,7,4,1,4
"170","Hombre","Formación Profesional",64,120,NA,NA,2,7,8,7,4
"171","Hombre","Formación Profesional",39,60,240,4,1,3,9,4,4
"172","Hombre","Secundaria SUperior",65,45,180,3,0.75,7,10,5,3
"173","Mujer","Secundaria SUperior",53,20,120,2,0.33,4,7,10,4
"174","Mujer","Grado Universitario",68,50,NA,NA,0.83,3,7,9,3
"175","Hombre","Máster/Doctorado",55,60,390,6.5,1,5,9,7,5
"176","Hombre","Formación Profesional",73,135,NA,NA,2.25,5,5,7,4
"177","Mujer","Máster/Doctorado",40,5,480,8,0.08,2,9,8,5
"178","Hombre","Formación Profesional",44,60,240,4,1,3,8,6,4
"179","Hombre","Primaria",80,90,NA,NA,1.5,5,8,5,3
"180","Mujer","Secundaria SUperior",70,120,60,1,2,3,10,10,4
"181","Mujer","Formación Profesional",39,60,180,3,1,2,6,8,4
"182","Mujer","Grado Universitario",53,60,720,12,1,4,7,10,4
"183","Hombre","Secundaria SUperior",36,90,600,10,1.5,0,1,8,4
"184","Hombre","Bachiller",70,60,60,1,1,10,5,9,3
"185","Mujer","Secundaria SUperior",54,30,60,1,0.5,4,6,5,3
"186","Mujer","Grado Universitario",26,30,600,10,0.5,1,9,8,5
"187","Hombre","Formación Profesional",57,60,480,8,1,4,8,7,4
"188","Hombre","Secundaria SUperior",75,NA,NA,NA,NA,1,4,8,4
"189","Mujer","Secundaria Inferior",84,20,NA,NA,0.33,3,7,5,3
"190","Hombre","Secundaria SUperior",68,90,30,0.5,1.5,4,7,8,4
"191","Mujer","Secundaria SUperior",42,120,60,1,2,0,5,9,3
"192","Hombre","Primaria",84,20,NA,NA,0.33,6,7,7,3
"193","Hombre","Secundaria Inferior",52,90,480,8,1.5,4,7,8,5
"194","Hombre","Máster/Doctorado",43,60,600,10,1,6,8,8,4
"195","Mujer","Máster/Doctorado",66,120,60,1,2,1,8,8,4
"196","Hombre","Formación Profesional",80,30,120,2,0.5,6,8,6,3
"197","Hombre","Formación Profesional",64,45,120,2,0.75,3,9,9,3
"198","Hombre","Secundaria SUperior",60,390,NA,NA,6.5,0,4,10,5
"199","Hombre","Secundaria SUperior",23,30,90,1.5,0.5,3,5,7,4
"200","Hombre","Formación Profesional",53,60,NA,NA,1,0,8,7,2
"201","Hombre","Formación Profesional",64,60,60,1,1,5,9,10,4
"202","Mujer","Máster/Doctorado",41,180,120,2,3,2,8,7,3
"203","Mujer","Máster/Doctorado",80,150,90,1.5,2.5,3,5,9,3
"204","Hombre","Secundaria SUperior",58,150,210,3.5,2.5,6,8,8,4
"205","Hombre","Secundaria SUperior",56,210,NA,NA,3.5,5,5,5,2
"206","Hombre","Máster/Doctorado",43,120,480,8,2,3,9,7,4
"207","Hombre","Formación Profesional",41,60,600,10,1,5,7,8,4
"208","Hombre","Formación Profesional",56,90,179,2.98,1.5,4,4,5,4
"209","Hombre","Formación Profesional",54,90,540,9,1.5,6,10,9,5
"210","Mujer","Secundaria SUperior",65,120,NA,NA,2,5,7,7,4
"211","Mujer","Formación Profesional",58,40,120,2,0.67,0,8,5,3
"212","Hombre","Primaria",55,180,NA,NA,3,1,4,5,5
"213","Hombre","Secundaria SUperior",61,60,120,2,1,5,7,8,4
"214","Mujer","Secundaria SUperior",31,15,300,5,0.25,2,9,8,5
"215","Mujer","Formación Profesional",58,60,180,3,1,5,10,10,5
"216","Hombre","Máster/Doctorado",68,60,60,1,1,5,7,9,5
"217","Mujer","Formación Profesional",54,30,360,6,0.5,3,7,8,4
"218","Hombre","Máster/Doctorado",73,90,195,3.25,1.5,4,9,8,4
"219","Mujer","Formación Profesional",24,30,540,9,0.5,4,8,6,4
"220","Mujer","Formación Profesional",32,40,270,4.5,0.67,3,8,7,5
"221","Mujer",NA,16,0,210,3.5,0,9,10,5,4
"222","Mujer","Bachiller",55,10,720,12,0.17,4,8,8,4
"223","Hombre","Formación Profesional",53,45,240,4,0.75,2,8,8,5
"224","Mujer","Máster/Doctorado",35,40,480,8,0.67,3,9,8,4
"225","Hombre","Secundaria SUperior",23,20,35,0.58,0.33,3,2,10,5
"226","Mujer","Grado Universitario",25,20,180,3,0.33,4,9,8,5
"227","Hombre","Formación Profesional",74,90,NA,NA,1.5,0,0,NA,2
"228","Hombre","Máster/Doctorado",64,60,30,0.5,1,5,9,8,4
"229","Hombre","Formación Profesional",NA,10,NA,NA,0.17,3,8,8,4
"230","Mujer","Formación Profesional",27,5,NA,NA,0.08,2,4,10,5
"231","Mujer","Secundaria Inferior",16,179,970,16.17,2.98,4,9,9,3
"232","Hombre","Secundaria Inferior",59,60,NA,NA,1,1,3,5,3
"233","Mujer","Formación Profesional",49,10,30,0.5,0.17,5,8,10,5
"234","Hombre","Secundaria SUperior",39,120,900,15,2,2,8,7,4
"235","Hombre","Secundaria SUperior",NA,10,NA,NA,0.17,5,10,7,4
"236","Hombre","Formación Profesional",58,75,120,2,1.25,4,8,1,4
"237","Mujer","Secundaria SUperior",68,30,NA,NA,0.5,5,6,6,4
"238","Hombre","Secundaria SUperior",62,80,120,2,1.33,3,9,9,4
"239","Mujer","Máster/Doctorado",23,5,180,3,0.08,0,7,0,5
"240","Mujer","Máster/Doctorado",67,150,120,2,2.5,6,9,8,4
"241","Hombre","Secundaria SUperior",30,40,180,3,0.67,0,5,7,4
"242","Hombre","Formación Profesional",41,90,180,3,1.5,7,9,8,5
"243","Hombre","Máster/Doctorado",52,30,75,1.25,0.5,1,8,6,3
"244","Hombre","Máster/Doctorado",49,60,480,8,1,7,9,9,5
"245","Hombre","Máster/Doctorado",68,60,60,1,1,4,9,8,4
"246","Mujer","Secundaria SUperior",54,90,210,3.5,1.5,5,8,8,4
"247","Mujer","Secundaria Inferior",56,60,240,4,1,0,2,1,3
"248","Hombre",NA,NA,120,180,3,2,3,5,7,3
"249","Hombre","Máster/Doctorado",53,120,600,10,2,5,8,9,4
"250","Hombre","Secundaria SUperior",49,60,120,2,1,3,9,8,4
"251","Mujer","Máster/Doctorado",34,20,120,2,0.33,6,9,1,5
"252","Mujer","Formación Profesional",38,70,45,0.75,1.17,6,8,10,5
"253","Hombre","Bachiller",73,20,NA,NA,0.33,0,8,6,5
"254","Mujer","Máster/Doctorado",33,15,300,5,0.25,0,5,8,5
"255","Mujer","Grado Universitario",37,45,120,2,0.75,3,5,8,4
"256","Hombre","Formación Profesional",62,60,90,1.5,1,7,9,8,5
"257","Hombre","Formación Profesional",38,80,180,3,1.33,7,8,9,5
"258","Hombre","Secundaria SUperior",40,60,180,3,1,3,7,6,5
"259","Hombre","Formación Profesional",58,60,30,0.5,1,1,9,9,4
"260","Mujer","Grado Universitario",57,45,120,2,0.75,2,8,2,4
"261",NA,NA,NA,210,570,9.5,3.5,2,7,4,2
"262","Mujer","Bachiller",46,150,210,3.5,2.5,2,7,9,4
"263","Hombre","Formación Profesional",50,30,540,9,0.5,6,8,8,4
"264","Hombre","Máster/Doctorado",62,60,720,12,1,3,6,7,4
"265","Hombre","Máster/Doctorado",47,60,240,4,1,2,8,9,5
"266","Mujer","Máster/Doctorado",57,15,300,5,0.25,1,7,9,4
"267",NA,NA,NA,2,660,11,0.03,1,4,NA,NA
"268","Hombre","Secundaria SUperior",64,90,90,1.5,1.5,7,9,2,4
"269","Mujer","Secundaria SUperior",76,130,60,1,2.17,5,10,8,4
"270","Hombre","Bachiller",52,120,60,1,2,2,8,9,5
"271","Mujer","Formación Profesional",26,30,60,1,0.5,3,9,10,3
"272","Mujer","Secundaria SUperior",68,10,NA,NA,0.17,NA,8,10,4
"273","Hombre","Secundaria SUperior",83,90,NA,NA,1.5,7,9,9,4
"274","Hombre","Máster/Doctorado",64,120,120,2,2,0,8,10,5
"275","Mujer","Secundaria SUperior",52,10,NA,NA,0.17,4,9,6,4
"276","Mujer","Máster/Doctorado",52,60,240,4,1,5,8,8,4
"277","Mujer","Bachiller",20,15,120,2,0.25,1,4,9,5
"278","Hombre","Grado Universitario",37,90,180,3,1.5,3,8,7,5
"279","Mujer","Máster/Doctorado",35,5,60,1,0.08,3,10,10,5
"280","Hombre","Formación Profesional",24,60,720,12,1,5,10,8,5
"281","Mujer","Formación Profesional",39,30,420,7,0.5,1,9,5,4
"282","Mujer","Bachiller",51,40,NA,NA,0.67,3,8,5,3
"283","Hombre","Formación Profesional",58,120,660,11,2,3,7,6,4
"284","Hombre","Máster/Doctorado",27,60,600,10,1,3,10,9,5
"285","Hombre",NA,56,70,NA,NA,1.17,4,6,7,4
"286","Hombre","Máster/Doctorado",47,20,600,10,0.33,5,8,8,4
"287","Mujer","Primaria",90,NA,NA,NA,NA,10,10,5,4
"288",NA,NA,NA,30,180,3,0.5,8,8,NA,NA
"289","Mujer","Secundaria Inferior",70,50,60,1,0.83,5,8,8,4
"290","Hombre","Grado Universitario",63,1440,180,3,24,4,7,4,4
"291","Hombre","Formación Profesional",88,60,60,1,1,2,7,5,3
"292","Mujer","Formación Profesional",38,5,30,0.5,0.08,5,5,10,5
"293","Mujer","Bachiller",61,299,119,1.98,4.98,3,9,4,4
"294","Mujer","Máster/Doctorado",33,45,210,3.5,0.75,2,9,9,5
"295","Hombre","Formación Profesional",55,60,390,6.5,1,0,5,10,4
"296","Mujer","Grado Universitario",60,170,120,2,2.83,4,8,8,5
"297","Hombre","Formación Profesional",42,15,150,2.5,0.25,3,8,9,4
"298","Hombre","Secundaria SUperior",74,60,240,4,1,1,4,8,3
"299","Hombre","Secundaria SUperior",86,120,NA,NA,2,7,3,2,3
"300","Mujer","Máster/Doctorado",41,20,NA,NA,0.33,2,9,7,3
"301",NA,"Formación Profesional",22,60,NA,NA,1,3,9,8,5
"302","Hombre","Formación Profesional",59,30,600,10,0.5,3,8,8,4
"303","Hombre","Formación Profesional",39,30,240,4,0.5,3,8,7,4
"304","Mujer","Secundaria SUperior",39,165,1440,24,2.75,5,6,6,5
"305","Mujer","Grado Universitario",42,35,60,1,0.58,5,7,5,4
"306","Hombre","Secundaria SUperior",59,60,NA,NA,1,3,8,7,4
"307",NA,"Secundaria Inferior",NA,10,60,1,0.17,4,8,4,4
"308","Mujer","Secundaria SUperior",45,0,NA,NA,0,0,2,7,5
"309","Mujer","Formación Profesional",70,130,90,1.5,2.17,7,5,8,4
"310","Mujer","Máster/Doctorado",31,15,300,5,0.25,2,8,9,5
"311","Hombre","Formación Profesional",65,50,180,3,0.83,4,7,8,5
"312","Hombre","Secundaria SUperior",55,30,270,4.5,0.5,0,4,7,3
"313","Hombre","Secundaria Inferior",59,10,NA,NA,0.17,1,3,5,2
"314","Hombre","Formación Profesional",72,90,NA,NA,1.5,6,8,6,3
"315","Hombre","Bachiller",49,30,120,2,0.5,1,8,8,5
"316","Mujer","Grado Universitario",55,120,60,1,2,3,9,9,5
"317","Hombre","Máster/Doctorado",42,90,420,7,1.5,3,7,8,4
"318","Hombre","Formación Profesional",21,30,180,3,0.5,2,6,7,5
"319","Mujer","Grado Universitario",39,5,300,5,0.08,0,5,8,3
"320","Hombre","Secundaria SUperior",78,45,60,1,0.75,6,8,8,4
"321","Hombre","Secundaria SUperior",40,90,120,2,1.5,0,8,8,4
"322","Mujer","Secundaria SUperior",48,30,360,6,0.5,1,7,9,4
"323","Hombre","Formación Profesional",46,30,150,2.5,0.5,0,6,9,5
"324","Hombre","Bachiller",60,120,600,10,2,4,8,8,4
"325","Mujer","Formación Profesional",NA,10,480,8,0.17,2,7,6,5
"326","Mujer","Secundaria SUperior",57,65,45,0.75,1.08,2,6,9,5
"327","Hombre","Máster/Doctorado",49,90,60,1,1.5,1,7,8,4
"328","Mujer","Secundaria SUperior",75,110,190,3.17,1.83,5,4,6,4
"329","Mujer","Secundaria Inferior",73,60,30,0.5,1,4,8,8,3
"330","Mujer","Grado Universitario",34,60,300,5,1,3,10,7,5
"331","Mujer","Grado Universitario",22,60,240,4,1,8,5,2,5
"332","Hombre","Formación Profesional",56,60,180,3,1,3,8,2,4
"333","Hombre","Formación Profesional",71,80,180,3,1.33,3,6,9,4
"334","Hombre","Secundaria Inferior",75,150,NA,NA,2.5,0,4,6,2
"335","Mujer","Secundaria SUperior",NA,5,90,1.5,0.08,4,3,5,3
"336","Mujer","Secundaria SUperior",29,60,480,8,1,0,0,8,3
"337","Mujer","Máster/Doctorado",43,60,360,6,1,2,7,9,4
"338","Mujer","Formación Profesional",43,5,360,6,0.08,3,6,8,4
"339","Mujer","Grado Universitario",32,60,300,5,1,4,10,8,5
"340","Mujer","Secundaria Inferior",NA,90,NA,NA,1.5,3,7,5,3
"341","Mujer","Formación Profesional",43,30,120,2,0.5,3,4,8,4
"342","Mujer","Secundaria SUperior",46,20,50,0.83,0.33,5,4,5,5
"343","Hombre","Secundaria SUperior",69,110,120,2,1.83,1,3,8,4
"344","Hombre","Secundaria SUperior",46,10,300,5,0.17,1,7,5,3
"345","Mujer","Bachiller",67,300,120,2,5,0,8,8,3
"346","Mujer","Secundaria SUperior",34,60,300,5,1,6,5,10,4
"347","Hombre","Formación Profesional",29,60,180,3,1,1,7,8,5
"348","Mujer","Secundaria Inferior",17,60,60,1,1,3,7,4,2
"349","Hombre","Formación Profesional",51,60,180,3,1,8,10,8,4
"350",NA,NA,NA,10,NA,NA,0.17,5,3,7,4
"351","Mujer","Formación Profesional",61,20,NA,NA,0.33,3,9,5,2
"352","Mujer","Secundaria SUperior",42,600,600,10,10,0,0,2,3
"353","Mujer","Primaria",79,20,60,1,0.33,0,5,2,3
"354","Mujer","Bachiller",20,90,300,5,1.5,4,8,9,5
"355","Mujer","Bachiller",60,30,90,1.5,0.5,3,8,7,4
"356","Hombre","Formación Profesional",25,390,540,9,6.5,2,8,8,5
"357","Mujer","Máster/Doctorado",34,45,130,2.17,0.75,0,9,5,4
"358","Mujer","Secundaria SUperior",58,60,60,1,1,0,5,5,4
"359","Mujer","Secundaria SUperior",34,30,120,2,0.5,3,5,5,3
"360","Mujer","Máster/Doctorado",57,30,360,6,0.5,3,5,9,4
"361","Hombre","Formación Profesional",19,180,60,1,3,0,0,5,2
"362","Mujer","Secundaria Inferior",82,120,NA,NA,2,4,9,8,4
"363","Mujer","Grado Universitario",28,60,90,1.5,1,1,7,9,4
"364","Hombre","Secundaria SUperior",55,150,360,6,2.5,4,10,10,4
"365","Hombre","Secundaria SUperior",47,180,600,10,3,0,4,4,2
"366","Hombre","Grado Universitario",NA,74,675,11.25,1.23,1,9,8,5
"367","Mujer","Secundaria SUperior",71,30,NA,NA,0.5,4,5,7,3
"368","Hombre","Secundaria SUperior",22,45,270,4.5,0.75,6,7,7,4
"369","Mujer","Secundaria SUperior",43,30,35,0.58,0.5,3,6,9,5
"370","Mujer","Máster/Doctorado",31,105,570,9.5,1.75,3,10,9,4
"371","Mujer","Secundaria SUperior",60,150,510,8.5,2.5,2,7,9,4
"372","Mujer","Secundaria SUperior",64,90,NA,NA,1.5,6,8,0,5
"373","Mujer","Secundaria SUperior",21,40,420,7,0.67,1,8,8,4
"374","Hombre","Secundaria Inferior",15,90,250,4.17,1.5,4,9,7,5
"375","Hombre","Secundaria Inferior",62,30,180,3,0.5,0,5,6,5
"376","Mujer","Secundaria SUperior",81,105,NA,NA,1.75,6,5,9,4
"377","Mujer","Formación Profesional",39,50,NA,NA,0.83,5,4,9,4
"378","Hombre","Grado Universitario",46,120,300,5,2,2,5,7,5
"379","Mujer","Secundaria SUperior",62,20,60,1,0.33,1,2,5,3
"380","Hombre","Formación Profesional",38,30,570,9.5,0.5,0,5,7,5
